"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3375","Edit course","LMS system","Thu Jan 29 10:49:35 UTC 2026","passed","Thu Jan 29 10:49:38 UTC 2026","Courses","Courses","",""
"","1793","User login with wrong email or password","LMS system","Thu Jan 29 10:49:27 UTC 2026","passed","Thu Jan 29 10:49:29 UTC 2026","Authorization","Authentication","",""
"","2534","Create course","LMS system","Thu Jan 29 10:49:34 UTC 2026","passed","Thu Jan 29 10:49:36 UTC 2026","Courses","Courses","",""
"","1934","User login with wrong email or password","LMS system","Thu Jan 29 10:49:25 UTC 2026","passed","Thu Jan 29 10:49:27 UTC 2026","Authorization","Authentication","",""
"","1631","Check displaying of empty courses list","LMS system","Thu Jan 29 10:49:33 UTC 2026","passed","Thu Jan 29 10:49:35 UTC 2026","Courses","Courses","",""
"","2145","Check displaying of dashboard page","LMS system","Thu Jan 29 10:49:37 UTC 2026","passed","Thu Jan 29 10:49:39 UTC 2026","Dashboard","Dashboard","",""
"","2001","User login with wrong email or password","LMS system","Thu Jan 29 10:49:25 UTC 2026","passed","Thu Jan 29 10:49:27 UTC 2026","Authorization","Authentication","",""
"","2034","Registration with correct email, username and password","LMS system","Thu Jan 29 10:49:30 UTC 2026","passed","Thu Jan 29 10:49:32 UTC 2026","Registration","Authentication","",""
"","1573","Navigation from login page to registration page","LMS system","Thu Jan 29 10:49:31 UTC 2026","passed","Thu Jan 29 10:49:32 UTC 2026","Authorization","Authentication","",""
"","3026","User login with correct email and password","LMS system","Thu Jan 29 10:49:27 UTC 2026","passed","Thu Jan 29 10:49:30 UTC 2026","Authorization","Authentication","",""
